RankingID,PlayerID,Ranks,Ranking_Date,Category,Ranking Points,Grand Total
1,10001,7,23-07-2025,Junior Womens Singles,1250,1300
2,10002,15,23-07-2025,Senior Mens Singles,1100,1150
3,10003,9,23-07-2025,Junior Womens Doubles,980,1020
4,10004,30,23-07-2025,Senior Mens Singles,700,750
5,10005,4,23-07-2025,Senior Womens Singles,1800,1850
6,10006,8,23-07-2025,Senior Mens Singles,1450,1500
7,10007,6,23-07-2025,Junior Womens Singles,1300,1350
8,10008,25,23-07-2025,Senior Mens Singles,850,900
9,10009,11,23-07-2025,Senior Womens Doubles,1050,1100
10,10001,3,23-07-2025,Senior Womens Singles,1900,1950
