TournamentID,Tournament_Title,Tournament_Type,Start Date,End Date,Location
1,All India Junior Ranking Tournament - Pune 2025,Ranking,2025-09-01,2025-09-06,"Pune, Maharashtra"
2,Yonex Sunrise Senior Nationals 2025,National,2025-11-10,2025-11-16,"Bengaluru, Karnataka"
3,North Zone Inter-State Championship 2025,Zonal,2025-08-15,2025-08-18,Chandigarh
4,South India Challenge 2025,Regional,2025-10-05,2025-10-09,"Chennai, Tamil Nadu"
5,Sub-Junior (U-13) Open Championship - Delhi,Junior,2026-01-20,2026-01-24,"New Delhi, Delhi"
6,West Zone Badminton Open 2025,Regional,2025-11-20,2025-11-24,"Ahmedabad, Gujarat"
7,All India Senior Ranking Tournament - Kochi,Ranking,2026-02-10,2026-02-15,"Kochi, Kerala"
8,National School Games Badminton - Indore,School Level,2026-03-05,2026-03-09,"Indore, Madhya Pradesh"
9,Hyderabad Badminton League 2025,League,2025-12-01,2025-12-07,"Hyderabad, Telangana"
10,Junior National Championships - Lucknow,National,2026-04-18,2026-04-23,"Lucknow, Uttar Pradesh"
